2026-02-25 04:53:30.249 [main] INFO  com.cryptorate.CryptoRateApplication - Starting CryptoRateApplication using Java 17.0.10 with PID 26600 (C:\Users\ASUS\Desktop\毕业设计\CryptoRate\target\classes started by ASUS in C:\Users\ASUS\Desktop\毕业设计\CryptoRate)
2026-02-25 05:04:51.529 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-25 05:04:51.529 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-02-25 05:04:51.561 [http-nio-8080-exec-1] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:04:51.563 [http-nio-8080-exec-1] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:04:51.575 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - CryptoRateHikariPool - Starting...
2026-02-25 05:04:51.700 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - CryptoRateHikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@2d70ffb7
2026-02-25 05:04:51.702 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - CryptoRateHikariPool - Start completed.
2026-02-25 05:05:00.424 [http-nio-8080-exec-3] INFO  com.cryptorate.controller.RateController - 接收到获取币种列表请求
2026-02-25 05:05:00.424 [http-nio-8080-exec-2] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:05:00.424 [http-nio-8080-exec-3] INFO  com.cryptorate.service.RateService - 获取系统支持的币种
2026-02-25 05:05:00.424 [http-nio-8080-exec-2] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:05:00.425 [http-nio-8080-exec-4] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: BTC, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:05:00.425 [http-nio-8080-exec-4] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: BTC, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:05:00.428 [http-nio-8080-exec-5] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTC, 范围: 7d
2026-02-25 05:05:00.428 [http-nio-8080-exec-5] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTC, 范围: 7d
2026-02-25 05:05:00.434 [http-nio-8080-exec-3] INFO  com.cryptorate.service.RateService - 共支持 388 个币种
2026-02-25 05:05:00.440 [http-nio-8080-exec-6] INFO  com.cryptorate.controller.RateController - 接收到获取币种列表请求
2026-02-25 05:05:00.442 [http-nio-8080-exec-6] INFO  com.cryptorate.service.RateService - 获取系统支持的币种
2026-02-25 05:05:00.445 [http-nio-8080-exec-7] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: BTC, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:05:00.445 [http-nio-8080-exec-7] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: BTC, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:05:00.448 [http-nio-8080-exec-6] INFO  com.cryptorate.service.RateService - 共支持 388 个币种
2026-02-25 05:05:00.451 [http-nio-8080-exec-8] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTC, 范围: 7d
2026-02-25 05:05:00.451 [http-nio-8080-exec-8] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTC, 范围: 7d
2026-02-25 05:05:00.462 [http-nio-8080-exec-9] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:05:00.462 [http-nio-8080-exec-9] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:05:02.165 [http-nio-8080-exec-10] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:05:02.165 [http-nio-8080-exec-10] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:05:02.172 [http-nio-8080-exec-4] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: 611, 范围: 7d
2026-02-25 05:05:02.172 [http-nio-8080-exec-5] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: 611, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:05:02.173 [http-nio-8080-exec-4] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: 611, 范围: 7d
2026-02-25 05:05:02.173 [http-nio-8080-exec-5] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: 611, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:05:02.520 [http-nio-8080-exec-7] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:05:02.520 [http-nio-8080-exec-7] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:05:02.525 [http-nio-8080-exec-8] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: ABC, 范围: 7d
2026-02-25 05:05:02.525 [http-nio-8080-exec-9] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: ABC, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:05:02.525 [http-nio-8080-exec-8] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: ABC, 范围: 7d
2026-02-25 05:05:02.525 [http-nio-8080-exec-9] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: ABC, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:05:02.843 [http-nio-8080-exec-1] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:05:02.843 [http-nio-8080-exec-1] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:05:02.850 [http-nio-8080-exec-4] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: ACP, 范围: 7d
2026-02-25 05:05:02.851 [http-nio-8080-exec-10] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: ACP, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:05:02.851 [http-nio-8080-exec-4] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: ACP, 范围: 7d
2026-02-25 05:05:02.851 [http-nio-8080-exec-10] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: ACP, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:05:14.166 [http-nio-8080-exec-2] INFO  com.cryptorate.controller.UserController - 接收到用户登录请求，用户名: admin
2026-02-25 05:05:14.166 [http-nio-8080-exec-2] INFO  com.cryptorate.service.UserService - 用户登录，用户名: admin
2026-02-25 05:05:14.187 [http-nio-8080-exec-2] INFO  com.cryptorate.service.UserService - 用户登录成功，用户ID: 1
2026-02-25 05:05:20.609 [scheduling-1] DEBUG com.cryptorate.scheduler.RateScheduler - [定时任务] scheduler.enabled=false，本次定时同步已跳过
2026-02-25 05:05:21.477 [http-nio-8080-exec-9] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:05:21.477 [http-nio-8080-exec-9] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:05:26.778 [http-nio-8080-exec-7] INFO  com.cryptorate.controller.AnalysisController - 接收到生成行情解读请求，币种: ACP
2026-02-25 05:05:26.778 [http-nio-8080-exec-7] INFO  com.cryptorate.service.AnalysisService - 生成行情解读，币种: ACP
2026-02-25 05:05:30.098 [http-nio-8080-exec-6] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTC, 范围: 7d
2026-02-25 05:05:30.098 [http-nio-8080-exec-1] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:05:30.098 [http-nio-8080-exec-4] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: BTC, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:05:30.098 [http-nio-8080-exec-6] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTC, 范围: 7d
2026-02-25 05:05:30.098 [http-nio-8080-exec-1] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:05:30.098 [http-nio-8080-exec-4] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: BTC, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:05:51.483 [http-nio-8080-exec-2] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:05:51.483 [http-nio-8080-exec-2] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
